blkaddr,offense,time,x,y
800 POTTER ST,BURGLARY AUTO,2019-04-22 21:00:00,-122.29468899999999,37.850798
1900 SAN PABLO AV,DOMESTIC VIOLENCE,2019-04-22 20:40:00,-122.29258100000001,37.870205
2000 OREGON ST,BURGLARY COMMERCIAL,2019-04-22 18:20:00,-122.26870900000002,37.857377
2400 ASHBY AV,DISTURBANCE,2019-04-22 01:47:00,-122.260248,37.856111
1400 GRIZZLY PEAK BL,VANDALISM,2019-04-22 18:20:00,-122.24847,37.884902000000004
OREGON STREET & ADELINE ST,BURGLARY AUTO,2019-04-22 18:15:00,-122.26826299999999,37.857437
1700 CHESTNUT ST,BURGLARY AUTO,2019-04-22 04:20:00,-122.28854199999999,37.874095000000004
1600 WOOLSEY ST,THEFT MISD. (UNDER $950),2019-04-23 07:00:00,-122.276174,37.850899
100 SEAWALL DR,BURGLARY AUTO,2019-04-23 12:00:00,-122.31756599999999,37.863611
1800 FAIRVIEW ST,BURGLARY AUTO,2019-04-23 13:00:00,-122.27260700000001,37.850434
1500 DERBY ST,DISTURBANCE,2019-04-23 00:00:00,-122.27902399999999,37.858863
100 SEAWALL DR,BURGLARY AUTO,2019-04-23 13:15:00,-122.31756599999999,37.863611
2100 MARTIN LUTHER KING JR WY,DISTURBANCE,2019-04-23 10:00:00,-122.272805,37.869688000000004
ADELINE STREET & ASHBY AV,DOMESTIC VIOLENCE,2019-04-23 23:50:00,-122.26898,37.854732
1900 SHATTUCK AV,ASSAULT/BATTERY MISD.,2019-04-23 15:32:00,-122.268616,37.873687
2300 TELEGRAPH AV,BRANDISHING,2019-04-23 23:20:00,-122.25918899999999,37.868714000000004
1300 SAN PABLO AV,THEFT MISD. (UNDER $950),2019-04-23 17:28:00,-122.295798,37.880228
1500 WOOLSEY ST,ASSAULT/BATTERY MISD.,2019-04-23 19:41:00,-122.27831299999998,37.85062
900 HEINZ AV,THEFT MISD. (UNDER $950),2019-04-23 07:00:00,-122.29156100000002,37.853552
2300 COLLEGE AV,THEFT FROM PERSON,2019-04-23 13:05:00,-122.254552,37.868957
2900 SHATTUCK AV,DISTURBANCE,2019-04-23 06:22:00,-122.266529,37.855523
2200 BYRON ST,ASSAULT/BATTERY MISD.,2019-04-23 14:15:00,-122.290015,37.866558000000005
2100 MARTIN LUTHER KING JR WY,DISTURBANCE,2019-04-23 07:38:00,-122.272805,37.869688000000004
2400 MILVIA ST,DISTURBANCE,2019-04-23 15:43:00,-122.27005,37.865466
900 HEINZ AV,BURGLARY AUTO,2019-04-23 23:00:00,-122.29156100000002,37.853552
1000 DWIGHT WY,BURGLARY AUTO,2019-04-23 11:00:00,-122.29136899999999,37.860732
MILVIA STREET & ALLSTON WY,VANDALISM,2019-04-23 19:29:00,-122.27046299999999,37.869057
100 SEAWALL DR,BURGLARY AUTO,2019-04-23 12:30:00,-122.31756599999999,37.863611
2000 NINTH ST,VANDALISM,2019-04-23 20:15:00,-122.294393,37.868590999999995
1000 HEARST AV,BURGLARY RESIDENTIAL,2019-04-23 12:00:00,-122.294774,37.869993
100 SEAWALL DR,BURGLARY AUTO,2019-04-23 12:12:00,-122.31756599999999,37.863611
1900 ALLSTON WY,DISTURBANCE,2019-04-24 15:00:00,-122.272701,37.868784999999995
2800 ASHBY AVE,THEFT FELONY (OVER $950),2019-04-24 08:00:00,-122.25070900000001,37.857713000000004
100 SEAWALL DR,BURGLARY AUTO,2019-04-24 15:00:00,-122.31756599999999,37.863611
2200 SHATTUCK AV,THEFT MISD. (UNDER $950),2019-04-24 13:17:00,-122.268028,37.869363
10TH STREET & DELAWARE ST,THEFT FROM AUTO,2019-04-24 18:00:00,-122.294711,37.873207
2000 VIRGINIA ST,THEFT FELONY (OVER $950),2019-04-24 11:30:00,-122.27123999999999,37.876296999999994
WEBSTER STREET & TELEGRAPH AV,BURGLARY AUTO,2019-04-24 21:25:00,-122.259768,37.855199
2100 ALLSTON WY,THEFT MISD. (UNDER $950),2019-04-24 23:00:00,-122.26788300000001,37.86939
3200 BOISE ST,DOMESTIC VIOLENCE,2019-04-24 20:15:00,-122.281093,37.849814
2700 ACTON ST,BURGLARY AUTO,2019-04-24 04:28:00,-122.28248500000001,37.858427
1500 OREGON ST,DISTURBANCE,2019-04-24 10:00:00,-122.279311,37.856078000000004
2600 TELEGRAPH AV,THEFT MISD. (UNDER $950),2019-04-24 11:14:00,-122.258784,37.862927
OXFORD STREET & UNIVERSITY AV,BURGLARY AUTO,2019-04-24 21:30:00,-122.26616399999999,37.872471999999995
1600 FAIRVIEW ST,THEFT MISD. (UNDER $950),2019-04-24 16:00:00,-122.27596299999999,37.850001
2500 BENVENUE AV,ROBBERY,2019-04-24 22:15:00,-122.25523500000001,37.865534999999994
2000 SAN PABLO AV,VANDALISM,2019-04-24 15:35:00,-122.29213100000001,37.868815000000005
1200 GILMAN ST,THEFT FROM AUTO,2019-04-24 18:00:00,-122.29321200000001,37.881003
TELEGRAPH AV & BLAKE ST,ASSAULT/BATTERY MISD.,2019-04-24 19:13:00,-122.25861599999999,37.864173
1900 SHATTUCK AV,ASSAULT/BATTERY FEL.,2019-04-24 11:20:00,-122.268616,37.873687
1900 GRANT ST,BURGLARY AUTO,2019-04-24 03:00:00,-122.275481,37.873017
100 SEAWALL DR,BURGLARY AUTO,2019-04-24 13:00:00,-122.31756599999999,37.863611
2500 WARRING ST,THEFT MISD. (UNDER $950),2019-04-24 12:50:00,-122.25047099999999,37.865945
2100 4TH ST,BURGLARY AUTO,2019-04-24 06:15:00,-122.29948300000001,37.866253
2000 BERKELEY WY,BURGLARY AUTO,2019-04-24 20:00:00,-122.27074099999999,37.872690999999996
1600 2ND ST,THEFT MISD. (UNDER $950),2019-04-24 00:45:00,-122.30388899999998,37.872599
1900 CENTER ST,BURGLARY AUTO,2019-04-24 20:00:00,-122.27280400000001,37.869685
2500 HASTE ST,VANDALISM,2019-04-24 18:30:00,-122.258623,37.866025
1800 STUART ST,BURGLARY AUTO,2019-04-24 04:40:00,-122.272998,37.857784
1800 CEDAR ST,BURGLARY RESIDENTIAL,2019-04-24 15:00:00,-122.27595600000001,37.877528000000005
1800 UNIVERSITY AV,VANDALISM,2019-04-24 10:30:00,-122.27499099999999,37.871246
2800 ASHBY AVE,THEFT FELONY (OVER $950),2019-04-24 13:15:00,-122.25070900000001,37.857713000000004
3000 BATEMAN ST,DISTURBANCE,2019-04-24 04:11:00,-122.2559,37.855721
2500 HASTE ST,DISTURBANCE,2019-04-24 19:17:00,-122.258623,37.866025
700 GILMAN ST,DISTURBANCE,2019-04-24 12:30:00,-122.30443500000001,37.878735999999996
2500 DURANT AV,BURGLARY AUTO,2019-04-24 20:00:00,-122.258699,37.867852
2400 RUSSELL ST,VEHICLE STOLEN,2019-04-24 23:15:00,-122.25943400000001,37.857673999999996
2300 FULTON ST,THEFT FELONY (OVER $950),2019-04-25 22:50:00,-122.266003,37.867822
1200 GRIZZLY PEAK BL,BURGLARY AUTO,2019-04-25 09:00:00,-122.25222600000001,37.889989
2200 SHATTUCK AV,THEFT FROM PERSON,2019-04-25 16:25:00,-122.268028,37.869363
2300 FULTON ST,BURGLARY RESIDENTIAL,2019-04-25 10:12:00,-122.266003,37.867822
1000 GILMAN ST,VANDALISM,2019-04-25 13:45:00,-122.297498,37.880140000000004
1400 SHATTUCK AV,THEFT MISD. (UNDER $950),2019-04-25 23:31:00,-122.269551,37.881957
1800 CEDAR ST,BRANDISHING,2019-04-25 08:21:00,-122.27595600000001,37.877528000000005
2400 SHATTUCK AV,BURGLARY AUTO,2019-04-25 00:15:00,-122.26764299999999,37.865772
ADDISON STREET & SHATTUCK AV,VEHICLE STOLEN,2019-04-25 22:50:00,-122.268285,37.871167
1300 BURNETT ST,VEHICLE STOLEN,2019-04-25 22:00:00,-122.283961,37.853603
2400 STUART ST,THEFT MISD. (UNDER $950),2019-04-25 11:00:00,-122.25917199999999,37.859539
2100 PARKER ST,ASSAULT/BATTERY MISD.,2019-04-25 11:00:00,-122.26708400000001,37.862169
1100 COLUSA AV,BURGLARY AUTO,2019-04-25 20:00:00,-122.27838700000001,37.887213
100 SEAWALL DR,BURGLARY AUTO,2019-04-25 11:30:00,-122.31756599999999,37.863611
1700 FOURTH ST,BURGLARY COMMERCIAL,2019-04-25 11:55:00,-122.301255,37.871883000000004
100 SEAWALL DR,BURGLARY AUTO,2019-04-25 17:55:00,-122.31756599999999,37.863611
SHATTUCK AV & KITTREDGE ST,ASSAULT/BATTERY MISD.,2019-04-25 17:20:00,-122.26795,37.868489000000004
800 CHANNING WY,VANDALISM,2019-04-25 12:01:00,-122.296599,37.861553
800 POTTER ST,BURGLARY AUTO,2019-04-25 14:00:00,-122.29468899999999,37.850798
3000 SHATTUCK AV,VEHICLE STOLEN,2019-04-25 12:50:00,-122.266475,37.855026
3000 ADELINE ST,THEFT MISD. (UNDER $950),2019-04-25 21:04:00,-122.269079,37.85488
FULTON STREET & HASTE ST,ROBBERY,2019-04-25 01:50:00,-122.265441,37.865140999999994
2300 WARRING ST,ROBBERY,2019-04-25 00:15:00,-122.25090300000001,37.869113
1900 BERKELEY WY,BURGLARY AUTO,2019-04-25 23:00:00,-122.273021,37.87247
1100 6TH ST,BURGLARY AUTO,2019-04-25 19:15:00,-122.302226,37.882217
GILMAN STREET & 4TH ST,BURGLARY AUTO,2019-04-25 13:45:00,-122.30352099999999,37.878915
2800 GRANT ST,DOMESTIC VIOLENCE,2019-04-25 12:39:00,-122.273145,37.857647
1700 SAN PABLO AV,VEHICLE STOLEN,2019-04-25 17:12:00,-122.293558,37.87325
